Pod - Shops,Shop ID,Total Calls,Overflow,Queued,Handle,Missed Calls,Transferred Calls,%Overflow,%Queued,%Handled,%missed,%Transferred,Order Count,Conv %,Refunded  Orders,% Orders with errors,
,ALL,EXTERNAL_OVERFLOW_DAILY,0,494,1120,0,0,0,0,0,0,0,0,0,0,0,0
,ES-12,114068,130,19,111,110,1,3,16,84,83.33333333,0.6,5.133333333,0,0,0,0
,ES-12,53606,375,35,340,332,8,27,10,90,88,2.2,7.7125,0,0,0,0
,ES-12,39337,1203,76,1127,1083,44,38,6.2,93.8,90.2,3.773333333,3.466666667,0,0,0,0
,ES-12,7167,2380,186,2194,2109,85,79,7.416666667,92.58333333,88.83333333,3.883333333,3.733333333,0,0,0,0
,ES-12,13394,889,79,810,800,10,52,8.833333333,91.16666667,90.5,1.15,6.283333333,0,0,0,0
,ES-12,29331,2202,58,2144,2080,64,225,2.583333333,97.41666667,94.41666667,2.941666667,10.9375,0,0,0,0
,ES-12,47211,220,38,182,175,7,5,12.6,87.4,85,2.86,2.26,0,0,0,0
,ES-12,113816,315,43,272,265,7,10,13.66666667,86.33333333,84.5,2.1,3.066666667,0,0,0,0
,ES-12,113402,133,15,118,115,3,12,11.8,88.2,86.8,1.66,9.42,0,0,0,0
,ES-12,41490,2327,85,2242,2141,101,38,3.608695652,96.39130435,92.30434783,4.182608696,1.743478261,0,0,0,0
,ES-12,49331,1085,51,1034,944,90,30,4.375,95.625,88.34375,7.765625,2.959375,0,0,0,0
,ES-12,112998,2350,125,2225,2176,49,28,5.1,94.9,92.9,2.15,1.235,0,0,0,0
,ES-12,73,586,33,553,539,14,16,5.909090909,94.09090909,91.54545455,2.618181818,3.209090909,0,0,0,0
,ES-12,110746,288,37,251,245,6,8,12,88,85.5,2.75,3.3,0,0,0,0
,ES-12,113475,702,27,675,659,16,25,3.875,96.125,93.8125,2.35,3.79375,0,0,0,0
,ES-12,113731,623,64,559,539,20,20,9.8,90.2,87.1,3.44,3.65,0,0,0,0
,ES-12,42989,4809,294,4515,4380,135,353,5.71875,94.28125,91.5625,2.953125,7.734375,0,0,0,0
,ES-12,48105,2654,307,2347,2269,78,69,12.22222222,87.77777778,85,3.033333333,3.188888889,0,0,0,0
,ES-12,102803,1076,175,901,864,37,32,16.71428571,83.28571429,80,3.585714286,3.371428571,0,0,0,0
,ES-12,111884,1187,294,893,860,33,39,15.81818182,84.18181818,81,3.745454545,5.009090909,0,0,0,0
,ES-12,114035,70,17,53,52,1,4,20,80,78.5,1.8,7.85,0,0,0,0
,ES-12,23721,2561,192,2369,2310,59,49,6.833333333,93.16666667,90.75,2.375,2.116666667,0,0,0,0
,ES-12,113741,1700,673,1027,984,43,61,35.55555556,64.44444444,61.88888889,3.911111111,6.211111111,0,0,0,0
,ES-12,54302,44,11,33,32,1,4,25,75,73,3,12.5,0,0,0,0
,ES-12,50324,279,60,219,212,7,8,19,81,78,3.2,3.7,0,0,0,0
,ES-12,107987,260,61,199,186,13,5,22.83333333,77.16666667,72.33333333,6.483333333,2.383333333,0,0,0,0
,ES-12,113896,583,103,480,461,19,6,13.85714286,86.14285714,83.14285714,3.357142857,1.171428571,0,0,0,0
,ES-12,113867,677,96,581,559,22,6,14.16666667,85.83333333,83,3.183333333,0.95,0,0,0,0
,ES-12,108865,1988,112,1876,1812,64,86,5.631578947,94.36842105,91.26315789,3.415789474,4.784210526,0,0,0,0
,ES-12,33126,2115,160,1955,1903,52,67,7.846153846,92.15384615,90.15384615,2.484615385,3.553846154,0,0,0,0
,ES-12,725,1658,331,1327,1295,32,37,17.625,82.375,80.375,2.2875,3.0375,0,0,0,0
,ES-12,54281,9,0,9,9,0,1,0,100,100,0,11.1,0,0,0,0
,ES-12,113942,8,3,5,5,0,2,21.5,78.5,78.5,0,25,0,0,0,0
,ES-12,15569,536,39,497,485,12,28,6.7,93.4,90.4,2.96,5.75,0,0,0,0
,ES-12,113406,501,67,434,420,14,12,12.85714286,87.14285714,84.57142857,2.985714286,2.628571429,0,0,0,0
,ES-12,112730,6699,455,6244,6101,143,218,6.833333333,93.16666667,91.16666667,2.2,3.508333333,0,0,0,0
,ES-12,110266,1064,50,1014,967,47,40,5.041666667,94.95833333,90.91666667,4.1625,3.816666667,0,0,0,0
,ES-12,1840,6532,421,6111,5856,255,41,5.8,94.26666667,90.33333333,4.106666667,0.716666667,0,0,0,0
,ES-12,55909,2432,119,2313,2251,62,72,4.866666667,95.13333333,92.56666667,2.656666667,3.126666667,0,0,0,0
,ES-12,853,568,44,524,505,19,9,12.85714286,87.14285714,84.14285714,3.9,1.128571429,0,0,0,0
,ES-12,14324,133,35,98,93,5,3,26,74,70,5.1,3.2,0,0,0,0
,ES-12,33879,1339,137,1202,1166,36,53,9.416666667,90.58333333,88.25,2.65,5.816666667,0,0,0,0
,ES-12,14082,2511,220,2291,2235,56,77,8.416666667,91.58333333,89.16666667,2.516666667,3.491666667,0,0,0,0
,ES-12,106636,23,11,12,12,0,1,26,74,74,0,5,0,0,0,0
,ES-12,54293,4296,325,3971,3778,193,209,6.153846154,93.84615385,89.61538462,4.461538462,5.230769231,0,0,0,0
,ES-12,33574,3288,159,3129,3053,76,103,4.709677419,95.29032258,93.06451613,2.422580645,3.351612903,0,0,0,0
,ES-12,27915,324,50,274,264,10,7,14,86,82.57142857,3.557142857,2.714285714,0,0,0,0
,ES-12,10716,673,101,572,557,15,18,10,90,84.33333333,6.083333333,2.9,0,0,0,0
,ES-12,20674,20,2,18,18,0,0,13.5,86.5,86.5,0,0,0,0,0,0
,ES-12,15797,339,42,297,285,12,30,13,87,83.83333333,3.583333333,9.883333333,0,0,0,0
,ES-12,54443,12,0,12,11,1,1,0,100,66.66666667,33.33333333,4.766666667,0,0,0,0
