,Created At Week,2026-05-11,2026-05-11,2026-05-04,2026-05-04,2026-04-27,2026-04-27,2026-04-20,2026-04-20
,Product Name,Orders with open_food_items,Open food items count,Orders with open_food_items,Open food items count,Orders with open_food_items,Open food items count,Orders with open_food_items,Open food items count
1,,169,200,163,182,160,195,176,196
2,Ranch,18,18,17,17,15,15,28,29
3,ranch dressing,10,10,14,14,10,10,9,9
4,blue cheese,8,8,6,6,16,16,10,10
5,marinara sauce,8,8,10,10,13,13,12,12
6,ranch,8,8,21,21,20,20,16,16
7,side of ranch,8,8,3,3,9,9,8,8
8,Extra Cheese,7,7,3,3,4,4,4,4
9,extra cheese,7,7,8,8,11,11,4,4
10,Delivery Fee,6,6,3,3,4,4,3,3
11,Ranch dressing,6,6,7,7,10,10,5,5
12,Bacon,5,5,5,5,8,9,8,8
13,Blue Cheese Dressing,5,5,4,4,7,7,5,5
14,Extra cheese,5,5,7,7,4,4,2,2
15,Mushrooms,5,5,4,4,2,2,2,2
16,RANCH,5,5,10,10,2,2,4,4
17,Vodka Sauce,5,5,1,1,1,1,3,3
18,blue cheese dressing,5,5,4,4,1,1,2,2
19,extra sauce,5,6,4,4,2,2,2,2
20,.,4,4,3,3,,,2,2
21,Chicken,4,4,5,5,8,8,5,5
22,Honey Mustard,4,4,4,4,4,4,4,4
23,MARINARA SAUCE,4,4,5,5,1,1,,
24,Marinara,4,4,4,4,3,3,6,6
25,Side of Marinara,4,4,3,3,1,1,2,2
26,cheese sauce,4,4,1,1,2,2,1,1
27,honey mustard,4,4,4,4,6,6,2,2
28,pepperoni,4,4,4,4,8,8,5,5
29,side of marinara sauce,4,4,1,1,1,1,3,3
30,BACON,3,3,1,1,3,3,2,2
31,BLUE CHEESE,3,3,,,5,5,,
32,Blue Cheese,3,3,2,2,4,4,5,5
33,Blue cheese,3,3,3,3,7,7,2,2
34,Broccoli,3,3,2,2,4,4,5,5
35,Cheese,3,3,3,3,5,5,3,3
36,Extra Sauce,3,3,2,2,2,2,3,3
37,Garlic Sauce,3,3,1,1,,,,
38,Marinara Sauce,3,3,7,7,5,5,4,4
39,Pepperoni,3,3,6,6,7,7,5,5
40,Ranch Dressing,3,3,9,9,19,19,9,9
41,SIDE OF MARINARA,3,3,1,1,,,1,1
42,Side of Blue Cheese,3,3,1,1,2,2,1,1
43,Side of Buffalo Sauce,3,3,1,1,1,1,1,1
44,Side of Ranch,3,3,1,1,5,5,7,7
45,bacon,3,3,8,8,2,2,4,4
46,banana peppers,3,3,3,3,3,3,4,4
47,grilled chicken,3,3,2,2,2,2,4,4
48,jalapenos,3,3,4,4,3,3,3,3
49,marinara,3,3,6,6,3,3,,
50,meatballs,3,3,,,1,1,,
51,side of blue cheese,3,3,1,1,2,2,1,1
52,vodka sauce,3,3,5,5,6,6,,
53,2 Ltr,2,2,,,,,,
54,Anchovies,2,2,1,1,1,1,3,3
55,BBQ,2,2,,,2,2,1,1
56,BBQ sauce,2,2,1,1,2,2,2,2
57,Blue cheese dressing,2,2,1,1,4,4,1,1
58,Caesar Dressing,2,2,1,1,3,3,3,3
59,Caesar dressing,2,2,,,5,5,,
60,Cheese Slice,2,2,,,1,1,1,1
61,Cheesecake Brownie,2,2,,,,,,
62,Double meat,2,2,,,,,,
63,Dressing,2,2,4,4,1,1,2,2
64,Drink,2,2,1,1,,,,
65,Fried onions,2,2,,,,,,
66,Garlic Butter Sauce,2,2,3,3,,,,
