,,Created At Week,2026-04-20,2026-04-20,2026-04-20,2026-04-20,2026-04-27,2026-04-27,2026-04-27,2026-04-27,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-11,2026-05-11,2026-05-11,2026-05-11
,,Shipping Type,delivery,for_here,pickup,to_go,delivery,for_here,pickup,to_go,delivery,for_here,pickup,to_go,delivery,for_here,pickup,to_go
,Shop ID,Name,Removed Items Count,Removed Items Count,Removed Items Count,Removed Items Count,Removed Items Count,Removed Items Count,Removed Items Count,Removed Items Count,Removed Items Count,Removed Items Count,Removed Items Count,Removed Items Count,Removed Items Count,Removed Items Count,Removed Items Count,Removed Items Count
1,21624,Pizza Stop,4,,2,,5,,6,,1,,9,,2,,1,
2,98938,Vesuvio's Pizza,4,,6,,0,,3,,4,,3,,0,,2,
3,1784,Bella Milano Pizza,3,,5,,0,,10,,0,,3,,1,,1,
4,9762,Novotny's Pizza Saxonburg,3,,2,,0,,6,,1,,3,,3,,8,
5,16172,24th St Pizza,3,,2,,0,,6,,0,,8,,0,,5,
6,52341,Taste Buds,3,,10,,4,,3,,0,,2,,1,,6,
7,112703,Gino's Pizzeria - Register,3,,5,,1,,2,,0,,3,,1,,0,
8,112906,John Anthony's of Valley Stream,3,,5,,0,,3,,0,,3,,1,,2,
9,113102,Parrot Pizza Worcester,3,,3,,0,,2,,2,,1,,3,,0,
10,113906,Marabello's Pizza,3,,8,,1,,4,,2,,2,,0,,1,
11,5144,Prince Umberto's,2,,0,,1,,3,,0,,3,,2,,2,
12,14338,Bella Napoli Pizzeria,2,,10,,0,,0,,1,,0,,0,,3,
13,20748,Imposto's Pizza,2,,10,0,1,,7,,0,,10,,7,,4,
14,43604,Papa Joe's Pizza,2,,11,,5,,10,,4,,15,,0,,14,
15,111619,Al Volo Pizza & Pasta,2,,1,,0,,3,,0,,2,,0,,0,
16,112794,Skyline Pizzeria & Restaurant,2,,4,,0,,,,,,,,,,,
17,439,King's Pizza & Subs,1,,3,,0,,0,,1,,1,,0,,0,
18,716,Mikie's Pizza & Subs,1,,1,,0,,2,,0,,0,,0,,1,
19,3915,Giovanni's,1,,6,,0,,8,,0,,1,,1,,4,
20,14307,Valentino's Restaurant,1,,6,,2,,2,,3,,6,,2,,4,
21,15595,Station Pizza,1,,2,,0,,0,,0,,1,,2,,2,
22,16553,Atlantis Pizza,1,,5,,0,,5,,0,,0,,0,,1,
23,16673,Ellie's Pizza Beverly,1,,2,,2,,5,,0,,9,,0,,15,
24,20354,Downtown Troy Pizza,1,,0,,1,,7,,0,,3,,0,,1,
25,23928,Mr Pizza And Shawarma (Halal),1,,1,,0,,1,,,,1,,,,0,
26,36229,Union Pizza,1,,0,,1,,6,,0,,1,,0,,1,
27,54617,Samia Pizza,1,,6,,0,,1,,0,,4,,0,,1,
28,103161,Sofia's Pizza,1,,12,,3,,7,,0,,16,,5,,24,
29,106763,Francesca's Pizza,1,,1,,1,,3,,0,,8,,1,,4,
30,109488,Mama Nita's Pizza,1,,3,,0,,2,,0,,2,,0,,0,
31,109924,Nick's Pizza Pompano,1,,1,,0,,1,,0,,0,,0,,1,
32,110265,Little Pat's Pizza & Pasta,1,,3,,0,,0,,0,,1,,0,,0,
33,112730,Ohio State Pizza & Wings,1,,1,,1,,1,,4,,1,,2,,0,
34,112732,Ohio State Pizza & Deli,1,,2,,0,,2,,0,,4,,1,,1,
35,113543,Original Royal Pizza,1,,2,,0,,1,,0,,4,,,,0,
36,73,Capri Pizza - Pasta & Kabobs,0,,0,,,,0,,,,0,,0,,0,
37,486,South View Pizza,0,,7,,0,,3,,0,,1,,0,,0,
38,725,Mario the Baker,0,,0,,0,,0,,0,,0,,0,,0,
39,853,Papa Ray's Pizza - San Francisco,0,,0,,,,,,0,,,,,,0,
40,1016,Bella Villa Pizza,0,,3,,0,,7,,0,,1,,0,,1,
41,1050,Pizza Land,0,,0,,0,,0,,0,,0,,0,,3,
42,1082,Besa's Pizza & Pasta,0,1,0,,0,,1,,0,,0,,0,,0,
43,1280,Vito's Pizza Restaurant,0,,6,,0,,4,,0,,4,,0,,6,
44,1840,Palm Pizza,0,,2,,0,,4,,0,,1,,0,,0,
45,1930,Prince of Pizza,0,,3,,1,,5,,0,,5,,0,,2,
46,1953,Uncle Paul's Pizza,0,,0,,0,,2,,0,,1,,0,,0,
47,2098,Alfredo's Pizza & Brew,0,,1,,2,,3,,0,,0,,0,,0,
48,2305,Pizza Connection,0,,1,,0,,3,,0,,2,,0,,3,
49,2307,Spice N Slice Pizza & Subs,0,,0,,0,,0,,0,,1,,0,,1,
50,2362,Gino's Pizza House,0,,0,,0,,0,,,,,,,,,
51,2384,Bella Nonna Pizza Restaurant,0,,0,,0,,0,,0,,0,,0,,0,
52,2415,La Felice Pizza,0,,2,,0,,0,,0,,1,,0,,0,
53,2592,Tuscan Oven,0,,0,,0,,0,,0,,0,,0,,0,
54,2835,Little Clown Pizza,0,,4,,0,,0,,0,,2,,0,,0,
55,2836,Sal's Famous New York Pizza,0,,1,,3,,2,,0,,0,,1,,0,
56,2912,Venice Pizza,0,,1,,0,,0,,0,,0,,0,,1,
57,3333,Vannucchi Brothers Pizza,0,,3,,0,,3,,0,,1,,0,,3,
58,3386,Broadway Pizza & Grill,0,,5,,0,,6,,0,,4,,0,,11,
59,3525,Red Tomato Pizzeria,0,,2,,0,,3,1,0,,0,,0,,2,
60,3823,Sicily Pizza,0,,0,,0,,0,,0,,0,,0,,0,
61,3895,John's Best Pizza,0,,0,,1,,0,,0,,0,,0,,0,
62,3983,Original Presto's Pizza,0,,,,,,0,,0,,0,,0,,0,
63,4035,RU Grill & Pizza,0,,1,,0,,0,,,,0,,,,0,
64,4540,Ferati's Pizza,0,,0,,0,,0,,1,,2,,0,,0,
65,4705,Little Sicily Pizza,0,,0,,0,,0,,2,,1,,,,,
66,5137,Giovanni Italian Style Pizza,0,,13,,0,,14,,0,,10,,0,,5,
67,5162,PizzaPie Gyro Love Southington,0,,0,,0,,0,,0,,0,,0,,0,
68,5374,Zara's Pizza & Restaurant,0,,2,,0,,0,,0,,2,,0,,1,
69,5655,Luigi's Pizza Fresca,0,,2,,0,,2,,0,,1,,0,,0,
70,5666,Jacqueline's Pizza & Pasta,0,,0,,,,0,,,,,,,,,
71,5784,Big Daddy's Pizza,0,,0,,0,,0,,0,,0,,0,,0,
72,6100,A-1 Pizza,0,,1,,0,,1,,0,,0,,0,,1,
73,6184,Angelo's Pizza,0,,1,,0,,2,,0,,0,,0,,3,
74,6924,Sal & Carmine Pizza,0,,0,,0,,0,,0,,0,,0,,0,
75,7052,West Coast Gourmet Pizza,0,,0,,0,,0,,0,,0,,0,,0,
76,7167,Ameci Pizza Kitchen,0,,0,,0,,1,,0,,0,,0,,1,
77,7855,Peppino's Pizza & Restaurant,0,,0,,0,,0,,0,,0,,0,,0,
78,8128,Noce's Pizzeria,0,,1,,0,,0,,0,,1,,0,,3,
79,8169,Stelton Pizza,0,,0,,0,,3,,0,,8,,0,,7,0
80,8557,Wicked Cheesesteaks Pizza & Wings,0,,0,,,,0,,0,,0,,0,,0,
81,8558,Big Louie's Pizzeria,0,,,,0,,,,0,,,,0,,0,
82,8561,Craft Pizza & Beer,0,,0,,0,,0,,0,,0,,0,,0,
83,8681,Super Star Pizza,0,,0,,0,,0,,0,,0,,0,,0,
84,8765,King Pizzeria,0,,11,,0,,1,,0,,13,,,,4,
85,9539,Max Pizza II,0,,3,,0,,4,,0,,6,,0,,4,
86,9631,EVO Brick Oven Pizza,0,,6,,0,,1,,0,,2,,0,,3,
87,9724,L'ora Della Pizzeria,0,,0,,0,,0,,0,,0,,0,,0,
88,9820,Saruzzo's New York Pizzeria,0,,0,,0,,0,,,,1,,0,,0,
89,9943,Broad St Pizzeria,0,,0,,0,,0,,0,,0,,0,,0,
90,10180,Pavone's Pizza,0,,0,,0,,1,,0,,1,,0,,0,
91,10259,Paradise Pizza,0,,0,,,,,,,,,,0,,0,
92,10399,The Godfather of Morristown,0,,1,,0,,0,,0,,0,,0,,2,
93,10716,Pizza Parlor,0,,2,,0,,0,,,,,,,,,
94,10955,Empire Pizza & Grill,0,,2,,0,,0,,0,,0,,0,,0,
95,11135,Bentoulis Pizza,0,,0,,0,,2,,0,,2,,0,,4,
96,11182,Frank's Pizzeria,0,,0,,0,,0,,0,,0,,0,,0,
97,11308,Beto's Pizza,0,,3,,2,,3,,0,,3,,0,,3,
98,11372,Bambino's Pizza & Subs,0,,0,,0,,4,,0,,1,,0,,2,
99,11525,Claudio Pizzeria,0,,3,,1,,4,,1,,2,,1,,1,
