,Call initiation Timestamp Date,Total Calls,Distinct Customer Numbers,Order Count,%orders from calls,%orders from unique customers 
1,2026-05-11,205,166,,,
2,2026-05-10,477,387,"4,708",987.0%,"1,216.5%"
3,2026-05-09,534,442,"6,098","1,141.9%","1,379.6%"
4,2026-05-08,525,454,"7,347","1,399.4%","1,618.3%"
5,2026-05-07,543,444,"4,889",900.4%,"1,101.1%"
6,2026-05-06,469,397,"4,233",902.6%,"1,066.2%"
7,2026-05-05,397,319,"3,657",921.2%,"1,146.4%"
8,2026-05-04,604,477,"3,175",525.7%,665.6%
9,2026-05-03,845,614,"4,572",541.1%,744.6%
10,2026-05-02,944,706,"6,185",655.2%,876.1%
11,2026-05-01,850,699,"7,764",913.4%,"1,110.7%"
