Call initiation Timestamp Minute15,Queue Calls,Overflow Calls
2026-05-14 23:45,,
2026-05-14 23:30,,
2026-05-14 23:15,,
2026-05-14 23:00,,
2026-05-14 22:45,,
2026-05-14 22:30,,
2026-05-14 22:15,,
2026-05-14 22:00,,
2026-05-14 21:45,,
2026-05-14 21:30,,
2026-05-14 21:15,,
2026-05-14 21:00,,
2026-05-14 20:45,,
2026-05-14 20:30,,
2026-05-14 20:15,,
2026-05-14 20:00,,
2026-05-14 19:45,,
2026-05-14 19:30,,
2026-05-14 19:15,,
2026-05-14 19:00,,
2026-05-14 18:45,,
2026-05-14 18:30,,
2026-05-14 18:15,,
2026-05-14 18:00,,
2026-05-14 17:45,,
2026-05-14 17:30,,
2026-05-14 17:15,,
2026-05-14 17:00,,
2026-05-14 16:45,,
2026-05-14 16:30,,
2026-05-14 16:15,,
2026-05-14 16:00,,
2026-05-14 15:45,,
2026-05-14 15:30,,
2026-05-14 15:15,,
2026-05-14 15:00,,
2026-05-14 14:45,,
2026-05-14 14:30,,
2026-05-14 14:15,,
2026-05-14 14:00,,
2026-05-14 13:45,,
2026-05-14 13:30,,
2026-05-14 13:15,,
2026-05-14 13:00,,
2026-05-14 12:45,,
2026-05-14 12:30,,
2026-05-14 12:15,,
2026-05-14 12:00,,
2026-05-14 11:45,,
2026-05-14 11:30,,
2026-05-14 11:15,,
2026-05-14 11:00,,
2026-05-14 10:45,,
2026-05-14 10:30,,
2026-05-14 10:15,,
2026-05-14 10:00,,
2026-05-14 09:45,,
2026-05-14 09:30,,
2026-05-14 09:15,,
2026-05-14 09:00,,
2026-05-14 08:45,,
2026-05-14 08:30,,
2026-05-14 08:15,,
2026-05-14 08:00,,
2026-05-14 07:45,,
2026-05-14 07:30,,
2026-05-14 07:15,,
2026-05-14 07:00,,
2026-05-14 06:45,,
2026-05-14 06:30,,
2026-05-14 06:15,,
2026-05-14 06:00,,
2026-05-14 05:45,,
2026-05-14 05:30,1,0
2026-05-14 05:15,3,0
2026-05-14 05:00,3,0
2026-05-14 04:45,1,0
2026-05-14 04:30,3,1
2026-05-14 04:15,2,0
2026-05-14 04:00,1,0
2026-05-14 03:45,4,0
2026-05-14 03:30,6,3
2026-05-14 03:15,9,0
2026-05-14 03:00,9,1
2026-05-14 02:45,5,0
2026-05-14 02:30,10,3
2026-05-14 02:15,8,0
2026-05-14 02:00,6,0
2026-05-14 01:45,6,2
2026-05-14 01:30,10,0
2026-05-14 01:15,8,4
2026-05-14 01:00,13,3
2026-05-14 00:45,17,2
2026-05-14 00:30,11,0
2026-05-14 00:15,11,3
2026-05-14 00:00,13,5
