,,,,Call initiation Timestamp Date,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01
,Shop ID,Shop Name,Pod ID,Live on Phone Date,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed calls of total,%Queued of total,%Handled of total,%Missed of queued
1,853,Papa Ray's Pizza,ES-12,2026-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,8,7,1,0,27%,73%,64%,12.5%,2,1,1,1,0,0,50%,50%,50%,0.0%,4,2,2,2,0,0,50%,50%,50%,0.0%,10,3,7,7,0,0,30%,70%,70%,0.0%
2,73,Capri Pizza Pasta Kabobs,ES-12,2026-03-02,4,0,4,4,0,0,0%,100%,100%,0.0%,9,0,9,9,0,1,0%,100%,100%,0.0%,6,0,6,6,0,0,0%,100%,100%,0.0%,12,1,11,11,0,0,8%,92%,92%,0.0%,9,0,9,9,0,0,0%,100%,100%,0.0%,11,0,11,11,0,0,0%,100%,100%,0.0%,6,0,6,6,0,1,0%,100%,100%,0.0%,5,1,4,4,0,0,20%,80%,80%,0.0%,12,0,12,12,0,0,0%,100%,100%,0.0%,5,0,5,5,0,0,0%,100%,100%,0.0%,11,0,11,11,0,1,0%,100%,100%,0.0%,2,0,2,2,0,1,0%,100%,100%,0.0%,10,0,10,10,0,1,0%,100%,100%,0.0%,4,0,4,4,0,0,0%,100%,100%,0.0%
3,725,Mario the Baker,ES-12,2025-01-30,6,0,6,6,0,0,0%,100%,100%,0.0%,22,0,22,22,0,0,0%,100%,100%,0.0%,33,4,29,29,0,0,12%,88%,88%,0.0%,29,0,29,29,0,0,0%,100%,100%,0.0%,,,,,,,,,,,4,0,4,4,0,1,0%,100%,100%,0.0%,18,1,17,17,0,1,6%,94%,94%,0.0%,54,5,49,49,0,2,9%,91%,91%,0.0%,28,0,28,27,1,0,0%,100%,96%,3.6%,40,9,31,31,0,3,23%,78%,78%,0.0%,25,1,24,21,3,0,4%,96%,84%,12.5%,,,,,,,,,,,14,4,10,10,0,0,29%,71%,71%,0.0%,16,0,16,16,0,0,0%,100%,100%,0.0%
4,55909,Palm Pizza 2,ES-12,2025-10-21,3,0,3,3,0,0,0%,100%,100%,0.0%,6,0,6,6,0,0,0%,100%,100%,0.0%,14,0,14,14,0,0,0%,100%,100%,0.0%,9,0,9,9,0,0,0%,100%,100%,0.0%,8,0,8,8,0,0,0%,100%,100%,0.0%,13,0,13,13,0,0,0%,100%,100%,0.0%,7,0,7,7,0,0,0%,100%,100%,0.0%,9,0,9,9,0,0,0%,100%,100%,0.0%,8,1,7,7,0,0,13%,88%,88%,0.0%,7,0,7,7,0,1,0%,100%,100%,0.0%,17,0,17,17,0,0,0%,100%,100%,0.0%,15,0,15,15,0,0,0%,100%,100%,0.0%,11,0,11,10,1,3,0%,100%,91%,9.1%,12,1,11,11,0,0,8%,92%,92%,0.0%
5,54302,King Cole Pizza,ES-12,2026-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,0,0,0,0,100%,0%,0%,
6,53606,A1 Pizza Kitchen,ES-12,2026-03-24,1,0,1,1,0,0,0%,100%,100%,0.0%,4,0,4,4,0,0,0%,100%,100%,0.0%,6,1,5,5,0,0,17%,83%,83%,0.0%,4,0,4,4,0,0,0%,100%,100%,0.0%,1,0,1,1,0,0,0%,100%,100%,0.0%,5,0,5,5,0,2,0%,100%,100%,0.0%,5,0,5,5,0,0,0%,100%,100%,0.0%,7,0,7,7,0,0,0%,100%,100%,0.0%,9,1,8,8,0,0,11%,89%,89%,0.0%,3,1,2,2,0,0,33%,67%,67%,0.0%,1,0,1,1,0,0,0%,100%,100%,0.0%,9,0,9,9,0,0,0%,100%,100%,0.0%,4,2,2,2,0,0,50%,50%,50%,0.0%,9,1,8,8,0,1,11%,89%,89%,0.0%
7,50324,King Kong NY Pizza (Meridian Ave),ES-12,2026-04-13,10,1,9,9,0,0,10%,90%,90%,0.0%,17,1,16,16,0,0,6%,94%,94%,0.0%,22,6,16,16,0,0,27%,73%,73%,0.0%,25,1,24,23,1,0,4%,96%,92%,4.2%,19,0,19,19,0,1,0%,100%,100%,0.0%,18,2,16,15,1,1,11%,89%,83%,6.3%,21,2,19,17,2,1,10%,90%,81%,10.5%,25,4,21,21,0,0,16%,84%,84%,0.0%,15,1,14,14,0,0,7%,93%,93%,0.0%,5,1,4,4,0,0,20%,80%,80%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,49331,Brooklyn New York Pizza & Wings I,ES-12,2025-06-26,,,,,,,,,,,4,0,4,4,0,0,0%,100%,100%,0.0%,4,0,4,4,0,0,0%,100%,100%,0.0%,5,0,5,5,0,0,0%,100%,100%,0.0%,1,0,1,1,0,0,0%,100%,100%,0.0%,3,0,3,3,0,0,0%,100%,100%,0.0%,2,0,2,2,0,0,0%,100%,100%,0.0%,2,0,2,2,0,0,0%,100%,100%,0.0%,1,0,1,1,0,0,0%,100%,100%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,2,0,0,0%,100%,100%,0.0%,4,1,3,3,0,0,25%,75%,75%,0.0%
9,48105,Galeria Pizza Nostra,ES-12,2026-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,7,20,20,0,1,26%,74%,74%,0.0%,59,25,34,32,2,0,42%,58%,54%,5.9%,67,15,52,48,4,0,22%,78%,72%,7.7%,67,7,60,59,1,2,10%,90%,88%,1.7%
