,Created At Date,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01
,Shop ID,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors,Orders Count,Refunded Orders,Orders with items removed,Removed Items Count,%orders with errors
1,112730,21,0,0,0,0.00%,43,0,0,0,0.00%,33,0,0,0,0.00%,27,0,0,0,0.00%,51,0,0,0,0.00%,55,0,2,2,3.64%,50,0,0,0,0.00%,40,0,0,0,0.00%,42,0,0,0,0.00%,45,0,1,1,2.22%,31,0,1,2,3.23%,45,0,0,0,0.00%,62,0,0,0,0.00%,61,0,1,1,1.64%
2,1840,11,0,0,0,0.00%,10,0,0,0,0.00%,10,0,0,0,0.00%,15,0,0,0,0.00%,18,0,1,1,5.56%,17,0,0,0,0.00%,11,0,0,0,0.00%,14,0,0,0,0.00%,9,0,0,0,0.00%,8,0,0,0,0.00%,19,0,0,0,0.00%,18,0,2,2,11.11%,14,0,0,0,0.00%,11,0,0,0,0.00%
3,13641,11,0,0,0,0.00%,32,0,0,0,0.00%,28,0,0,0,0.00%,26,0,1,1,3.85%,33,0,0,0,0.00%,44,0,0,0,0.00%,43,0,1,1,2.33%,41,0,0,0,0.00%,27,0,0,0,0.00%,30,0,0,0,0.00%,36,0,0,0,0.00%,34,0,0,0,0.00%,50,0,0,0,0.00%,58,0,0,0,0.00%
4,43604,10,0,0,0,0.00%,55,1,2,2,5.45%,55,0,2,2,3.64%,44,0,1,2,2.27%,65,0,3,4,4.62%,65,0,3,3,4.62%,90,0,1,1,1.11%,54,0,2,4,3.70%,42,0,2,2,4.76%,57,0,3,3,5.26%,51,0,2,2,3.92%,66,0,0,0,0.00%,85,1,2,2,3.53%,74,0,2,3,2.70%
5,48521,10,0,0,0,0.00%,24,0,0,0,0.00%,26,0,0,0,0.00%,20,0,0,0,0.00%,30,0,0,0,0.00%,37,0,0,0,0.00%,33,4,0,0,12.12%,29,0,0,0,0.00%,23,0,0,0,0.00%,29,1,0,0,3.45%,30,0,0,0,0.00%,26,0,0,0,0.00%,33,0,0,0,0.00%,36,2,0,0,5.56%
6,112577,10,0,0,0,0.00%,39,0,0,0,0.00%,18,0,1,1,5.56%,33,0,0,0,0.00%,58,0,0,0,0.00%,41,0,2,2,4.88%,40,1,0,0,2.50%,20,0,0,0,0.00%,32,0,0,0,0.00%,31,0,1,1,3.23%,34,0,0,0,0.00%,46,0,0,0,0.00%,39,0,0,0,0.00%,31,0,0,0,0.00%
7,112732,10,0,0,0,0.00%,40,1,0,0,2.50%,31,0,0,0,0.00%,31,0,0,0,0.00%,42,0,0,0,0.00%,51,1,0,0,1.96%,56,0,1,1,1.79%,48,0,1,1,2.08%,39,0,1,1,2.56%,46,0,1,1,2.17%,40,0,0,0,0.00%,65,1,0,0,1.54%,77,0,0,0,0.00%,76,0,0,0,0.00%
8,14082,9,0,0,0,0.00%,24,0,2,3,8.33%,7,0,0,0,0.00%,14,0,1,2,7.14%,22,0,2,4,9.09%,21,0,0,0,0.00%,17,0,0,0,0.00%,14,0,0,0,0.00%,19,0,0,0,0.00%,10,0,1,1,10.00%,4,0,0,0,0.00%,15,0,0,0,0.00%,26,0,0,0,0.00%,30,0,0,0,0.00%
9,23721,8,0,1,1,12.50%,16,0,1,1,6.25%,10,0,0,0,0.00%,7,0,1,1,14.29%,17,0,1,1,5.88%,21,0,0,0,0.00%,13,0,0,0,0.00%,15,0,1,2,6.67%,18,0,1,1,5.56%,16,0,0,0,0.00%,18,0,0,0,0.00%,15,0,1,1,6.67%,22,0,2,3,9.09%,20,0,0,0,0.00%
